molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pEC50
CHEMBL118939,CCC(Cc1ccc(OC)c(CNC(=O)c2ccc(C(F)(F)F)cc2)c1)C(=O)O,Partial Agonist,409.404,4.2973,2,3,5
CHEMBL116947,CCC(Cc1ccc(OC)c(C(=O)NCc2cccc(Oc3ccccc3)c2)c1)C(=O)O,Full Agonist,433.504,5.0708,2,4,5.207608311
CHEMBL122070,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccccc3)cc2)c1)C(=O)O,Full Agonist,433.504,5.0708,2,4,5.619788758
CHEMBL94397,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,493.581,6.009,2,7,7.638272164
CHEMBL118198,CCC(Cc1ccc(OC)c(C(=O)NCc2ccccc2)c1)C(=O)O,Partial Agonist,341.407,3.2785,2,3,5
CHEMBL97529,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,545.701,7.961,1,6,6.910094889
CHEMBL96758,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,553.68,7.9704,1,6,6.452225295
CHEMBL96143,CCCc1cc(Oc2ccc(F)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,509.599,6.75092,1,6,6.974694135
CHEMBL96451,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,495.572,6.4425,1,6,7.070581074
CHEMBL92130,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,507.608,6.312,1,7,7.161150909
CHEMBL318684,CCCc1cc(Oc2ccc(Cl)c(Cl)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,546.472,7.6102,1,6,7.327902142
CHEMBL119791,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(-c3ccccc3)cc2)c1)C(=O)O,Full Agonist,417.505,4.9455,2,3,5.397940009
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,477.582,6.3034,1,6,7.853871964
CHEMBL122009,COc1ccc(CCCC(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,395.377,4.0513,2,3,5.522878745
CHEMBL118279,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(CCc3ccccc3)cc2)c1)C(=O)O,Full Agonist,445.559,5.0637,2,3,5.26760624
CHEMBL120009,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,409.404,4.2973,2,3,6.397940009
CHEMBL331469,CCC(Cc1ccc(OC)c(C(=O)CCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,408.416,5.1828,1,3,5.13076828
CHEMBL24458,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,438.427,3.5381,2,5,6.096910013
CHEMBL120744,CCOC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,425.403,3.6762,2,4,5.552841969
CHEMBL122009,COc1ccc(CCCC(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,395.377,4.0513,2,3,5.522878745
CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,361.825,3.5545,2,3,3.863279433
CHEMBL331206,CCCCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,437.458,5.0775,2,3,5.602059991
CHEMBL120009,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,409.404,4.2973,2,3,6.397940009
CHEMBL86817,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(-c3ccco3)cc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O,Full Agonist,534.608,7.7495,1,5,5.537602002
CHEMBL328455,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Full Agonist,554.686,8.5635,1,3,6.522878745
CHEMBL420973,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Full Agonist,478.588,6.8965,1,3,6.22184875
CHEMBL86658,CCO[C@@H](Cc1ccc(OCCn2c3ccccc3c3ccccc32)cc1)C(=O)O,Full Agonist,403.478,4.9057,1,4,6.769551079
CHEMBL314483,CCO[C@@H](Cc1ccc(OCC=C(c2ccccc2)c2ccccc2)cc1)C(=O)O,Full Agonist,402.49,5.2295,1,3,5.568636236
CHEMBL421729,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Full Agonist,478.588,6.8965,1,3,5.769551079
CHEMBL89152,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(Br)cc2)cc1)C(=O)O,Full Agonist,481.386,5.992,1,3,5.823908741
CHEMBL24038,CCO[C@@H](Cc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1)C(=O)O,Full Agonist,419.477,5.0416,1,5,6.244125144
CHEMBL86688,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(Br)cc2)cc1)C(=O)O,Full Agonist,481.386,5.992,1,3,5.366531544
CHEMBL672,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,Full Agonist,360.837,4.68,0,4,6.244125144
CHEMBL87307,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1)C(=O)O,Full Agonist,560.282,6.7545,1,3,6.045757491
CHEMBL87928,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O,Full Agonist,468.549,6.4895,1,4,6.096910013
CHEMBL86657,CCO[C@@H](Cc1ccc(OCCN(c2ccccc2)c2ccccc2)cc1)C(=O)O,Full Agonist,405.494,4.9359,1,4,5.48148606
CHEMBL327481,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(F)cc2)cc1)C(=O)O,Full Agonist,420.48,5.3686,1,3,5.070581074
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,357.435,2.4909,1,6,6.795880017
CHEMBL87380,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(C)cc2)c2ccc(C)cc2)cc1)C(=O)O,Full Agonist,430.544,5.84634,1,3,5.508638306
CHEMBL315048,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(F)cc2)cc1)C(=O)O,Full Agonist,420.48,5.3686,1,3,5.397940009
CHEMBL89996,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O,Full Agonist,468.549,6.4895,1,4,5.698970004
CHEMBL328099,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1)C(=O)O,Full Agonist,462.542,5.2467,1,5,5.657577319
CHEMBL299958,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1F,Full Agonist,495.572,6.4425,1,6,6.522878745
CHEMBL54097,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1C,Full Agonist,491.609,6.61182,1,6,7
CHEMBL52426,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,512.027,6.9568,1,6,7.096910013
CHEMBL430970,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,553.68,7.9704,1,6,7.698970004
CHEMBL50885,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,507.608,6.312,1,7,7.522878745
CHEMBL298187,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1Cl,Full Agonist,512.027,6.9568,1,6,6.15490196
CHEMBL50755,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1OC,Full Agonist,507.608,6.312,1,7,6.397940009
CHEMBL50984,CCCc1cc(Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,646.787,7.41262,2,8,6.301029996
CHEMBL340011,CCCCCCCN(CCc1ccc(OC(C)(C)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1,Full Agonist,458.574,6.1147,2,3,6.552841969
CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,477.582,6.3034,1,6,6.522878745
CHEMBL124842,CCCCCCCN(CCc1ccc(OC(C)(C)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1F,Full Agonist,476.564,6.2538,2,3,6.698970004
CHEMBL50143,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1CCC,Full Agonist,519.663,7.2559,1,6,6.698970004
CHEMBL53746,CCCc1cc(Oc2ccc(CC(C)C)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,533.69,7.5019,1,6,7.522878745
CHEMBL124079,CC(C)(Oc1ccc(CCN(C(=O)Nc2ccc(F)cc2F)C2CCCCCC2)cc1)C(=O)O,Full Agonist,474.548,6.0062,2,3,8.22184875
CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,318.756,3.813,1,3,3.522878745
CHEMBL52633,CCCc1cc(Oc2ccc(S(C)(=O)=O)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,555.674,5.7069,1,8,6.920818754
CHEMBL300026,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,495.572,6.4425,1,6,7.22184875
CHEMBL683,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,Partial Agonist,214.648,2.582,1,2,3.522878745
CHEMBL278590,CCCCCCCN(CCc1ccc(SC(C)(C)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1F,Full Agonist,492.632,6.9671,2,3,6
CHEMBL125230,CC(C)(Oc1ccc(CCN(CCCCCC2CCCCC2)C(=O)Nc2ccc(F)cc2)cc1)C(=O)O,Full Agonist,512.666,7.285,2,3,5.795880017
CHEMBL301156,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,491.609,6.6935,1,6,6.522878745
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,357.435,2.4909,1,6,7.698970004
CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,361.825,3.5545,2,3,4.22184875
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,Full Agonist,441.549,4.37426,2,6,6.259637311
CHEMBL434063,CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,Full Agonist,495.579,4.9356,2,6,8.207608311
CHEMBL435278,CC(C)(Oc1ccc(CCCN(CCc2c(F)cccc2Cl)C(=O)Nc2cccc(Cl)c2Cl)cc1)C(=O)O,Full Agonist,581.899,7.7373,2,3,5.602059991
CHEMBL295416,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,Partial Agonist,323.805,3.66714,2,5,4.22184875
CHEMBL672,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,Partial Agonist,360.837,4.68,0,4,3.522878745
CHEMBL293526,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Full Agonist,392.411,3.01822,1,6,7.080921908
CHEMBL565,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,Partial Agonist,242.702,3.0605,0,3,3.301029996
CHEMBL278994,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc2c(-c3ccccc3)coc12,Full Agonist,495.04,7.894,1,4,8.283996656
CHEMBL106666,COC(=O)c1ccccc1N[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)C(=O)O,Full Agonist,500.551,5.16592,2,7,9.148741651
CHEMBL320553,COc1ccc(CCc2c(-c3ccccc3)[nH]c3ccc(CC(=O)O)cc23)cc1,Full Agonist,385.463,5.2558,2,2,7.356547324
CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,Full Agonist,356.447,3.1596,1,5,6.236572006
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,357.435,2.4909,1,6,7.366531544
CHEMBL278590,CCCCCCCN(CCc1ccc(SC(C)(C)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1F,Full Agonist,492.632,6.9671,2,3,6
CHEMBL24458,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,438.427,3.5381,2,5,7.080921908
CHEMBL153057,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,Full Agonist,402.443,3.8586,2,6,5.259637311
CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,361.825,3.5545,2,3,4.22184875
CHEMBL306229,CCOC(Cc1ccc(OCCN(C)c2nc3ccccc3o2)cc1)C(=O)O,Full Agonist,384.432,3.3752,1,6,7.180456064
CHEMBL107367,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,Full Agonist,546.623,6.61032,2,6,9.468521083
CHEMBL117402,NC(=O)C(Cc1ccc(OCCOc2ccc3ccccc3c2)cc1)C(=O)O,Full Agonist,379.412,3.0262,2,4,5.519993057
CHEMBL122417,CCCc1ccccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Agonist,369.417,3.7945,1,5,7.091514981
CHEMBL293526,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Full Agonist,392.411,3.01822,1,6,7.080921908
CHEMBL117738,CCCc1cc(C=C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,479.642,6.8586,1,5,6.677780705
CHEMBL119066,CCCc1cc(C2CCC(C)(C)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Agonist,479.617,6.4783,1,5,7.045757491
CHEMBL119097,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)C(C)(C)CCC3(C)C)cc1)C(N)=O,Full Agonist,453.579,4.3104,1,5,6.080921908
CHEMBL115463,O=C(O)C(Cc1ccc(OCCOc2ccc3c(c2)CCCC3)cc1)C(=O)O,Full Agonist,384.428,3.3511,2,4,5.675717545
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,357.435,2.4909,1,6,5.540607512
CHEMBL120570,CCCc1cc(OC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,483.63,6.2226,1,6,7.408935393
CHEMBL331388,COC(=O)C(Cc1ccc(OCCOc2ccc3ccccc3c2)cc1)C(=O)O,Full Agonist,394.423,3.7139,1,5,5.950781977
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,477.582,6.3034,1,6,7.853871964
CHEMBL118577,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)NCCC3)cc1)C(=O)O,Full Agonist,399.443,2.9188,2,6,5.420216403
CHEMBL118816,NC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)NCCC3)cc1)C(=O)O,Full Agonist,384.432,2.2311,3,5,5.540607512
CHEMBL280293,CCCc1cc(-c2ccccc2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Agonist,445.515,5.4615,1,5,7.045757491
CHEMBL116920,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)C(C)(C)CCC3(C)C)cc1)C(=O)O,Full Agonist,454.563,4.9097,1,5,7.045757491
CHEMBL117796,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)NCCC3)cc1)C(=O)OC,Full Agonist,413.47,3.0072,1,7,5.500312917
CHEMBL117578,CCCc1cc(C(=O)c2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,524.038,6.3955,1,6,7.292429824
CHEMBL117764,CC1(C)CCC(C)(C)c2cc(OCCOc3ccc(CC(C(=O)O)C(=O)O)cc3)ccc21,Full Agonist,440.536,4.8213,2,4,5.688246139
CHEMBL118251,CCCc1cc(C2CCCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Agonist,465.59,6.2323,1,5,7.455931956
CHEMBL324027,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)CCCC3)cc1)C(=O)OC,Full Agonist,412.482,3.5279,0,6,5.823908741
CHEMBL118756,CCCc1cc(C2CCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Agonist,451.563,5.8422,1,5,7.721246399
CHEMBL325844,COC(=O)C(Cc1ccc(OCCOc2ccc3ccccc3c2)cc1)C(=O)OC,Full Agonist,408.45,3.8023,0,6,6.27572413
CHEMBL118274,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)C(C)(C)CCC3(C)C)cc1)C(=O)OC,Full Agonist,468.59,4.9981,0,6,6.823908741
CHEMBL119496,CCCc1cc(C(=O)C2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,495.641,6.2741,1,6,6.958607315
CHEMBL331071,CCCc1cc(C(=O)c2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,489.593,5.7421,1,6,6.777283529
CHEMBL119795,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)CCCC3)cc1)C(=O)O,Full Agonist,398.455,3.4395,1,5,6.161150909
CHEMBL122418,CCCc1cc(CC2CCCCC2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,481.658,6.6339,1,5,7.096910013
CHEMBL119217,COC(=O)C(Cc1ccc(OCCOc2ccc3c(c2)CCCC3)cc1)C(N)=O,Full Agonist,397.471,2.8402,1,5,5.46470588
CHEMBL332018,CCCc1cc(C2CCC(F)(F)CC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1,Full Agonist,487.543,6.0874,1,5,5.522878745
CHEMBL21105,COc1ccc(C)cc1NC(=O)N(CCc1ccc(SC(C)(C)C(=O)O)cc1)CCc1ccc(-c2ccccc2)cc1,Partial Agonist,582.766,7.94522,2,4,5
CHEMBL21706,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)Nc2cc(Cl)cc(Cl)c2)cc1)C(=O)O,Full Agonist,565.607,8.7759,2,3,6
CHEMBL20125,CC(C)c1ccc(NC(=O)N(CCc2ccc(SC(C)(C)C(=O)O)cc2)CCc2ccc(-c3ccccc3)cc2)cc1,Full Agonist,580.794,8.7516,2,3,5.070581074
CHEMBL21241,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O,Full Agonist,502.765,7.2793,2,3,5.958607315
CHEMBL20495,COc1ccc(NC(=O)N(CCc2ccc(SC(C)(C)C(=O)O)cc2)CCc2ccc(-c3ccccc3)cc2)c(OC)c1,Full Agonist,598.765,7.6454,2,5,5.920818754
CHEMBL281791,Cc1ccc(NC(=O)N(CCCCC2CCCCC2)CCc2ccc(SC(C)(C)C(=O)O)cc2)cc1[N+](=O)[O-],Full Agonist,555.741,7.68572,2,5,5.698970004
CHEMBL279211,Cc1cc(C)c(NC(=O)N(CCc2ccc(SC(C)(C)C(=O)O)cc2)CCc2ccc(-c3ccccc3)cc2)cc1C,Full Agonist,580.794,8.55346,2,3,5.869666232
CHEMBL20280,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)Nc2cccc(C#N)c2)cc1)C(=O)O,Full Agonist,521.727,7.34078,2,4,6
CHEMBL20125,CC(C)c1ccc(NC(=O)N(CCc2ccc(SC(C)(C)C(=O)O)cc2)CCc2ccc(-c3ccccc3)cc2)cc1,Full Agonist,580.794,8.7516,2,3,5.853871964
CHEMBL281608,CC(C)(Sc1ccc(CCN(CCc2ccc(-c3ccccc3)cc2)C(=O)Nc2cc(Cl)cc(Cl)c2)cc1)C(=O)O,Full Agonist,607.603,8.935,2,3,5.698970004
CHEMBL280897,CC(C)(Sc1ccc(CCN(CCc2ccc(-c3ccccc3)cc2)C(=O)NC2CCCCC2)cc1)C(=O)O,Full Agonist,544.761,7.4384,2,3,5.619788758
CHEMBL278590,CCCCCCCN(CCc1ccc(SC(C)(C)C(=O)O)cc1)C(=O)Nc1ccc(F)cc1F,Full Agonist,492.632,6.9671,2,3,6
CHEMBL20392,COc1ccccc1NC(=O)N(CCCCC1CCCCC1)CCc1ccc(SC(C)(C)C(=O)O)cc1,Full Agonist,526.743,7.4777,2,4,6.494850022
CHEMBL115604,CC[C@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Partial Agonist,409.404,4.2973,2,3,4.823908741
CHEMBL107789,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Partial Agonist,409.404,4.2973,2,3,4.853871964
CHEMBL167430,CCO[C@@H](Cc1ccc(OCCn2c3ccccc3c3cc(Br)ccc32)cc1)C(=O)O,Full Agonist,482.374,5.6682,1,4,6.48148606
CHEMBL167352,CCOC(Cc1ccc(OCCN2c3ccccc3C=Cc3ccccc32)cc1)C(=O)O,Full Agonist,429.516,5.4197,1,4,6.119186408
CHEMBL354863,CCOC(Cc1ccc(OCC/C=C2/c3ccccc3COc3ccccc32)cc1)C(=O)O,Partial Agonist,444.527,5.512,1,4,4.906578315
CHEMBL168033,CCOC(Cc1ccc(OCCN(C)C2c3ccccc3CCc3ccccc32)cc1)C(=O)O,Full Agonist,459.586,4.9176,1,4,5.769551079
CHEMBL165484,CCOC(Cc1ccc(OCCCN2c3ccccc3CCc3ccccc32)cc1)C(=O)O,Full Agonist,445.559,5.4246,1,4,6.119186408
CHEMBL167084,CCOC(Cc1ccc(OCC=C2c3ccccc3CCc3ccccc32)cc1)C(=O)O,Partial Agonist,428.528,5.3281,1,3,4.899629455
CHEMBL168166,CCOC(Cc1ccc(OCCC2Sc3ccccc3Oc3ccccc32)cc1)C(=O)O,Full Agonist,450.556,6.127,1,5,5.431798276
CHEMBL295416,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,Partial Agonist,323.805,3.66714,2,5,4.53313238
CHEMBL165539,CCOC(Cc1ccc(OCC=C2c3ccccc3-c3ccccc32)cc1)C(=O)O,Partial Agonist,400.474,5.2099,1,3,4.91721463
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,Full Agonist,441.549,4.37426,2,6,6.008773924
CHEMBL166628,CCOC(Cc1ccc(OCCn2c3ccccc3c3ccncc32)cc1)C(=O)O,Full Agonist,404.466,4.3007,1,5,7.040958608
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,357.435,2.4909,1,6,6.795880017
CHEMBL166572,CCOC(Cc1ccc(OCCCN2c3ccccc3OCOc3ccccc32)cc1)C(=O)O,Full Agonist,463.53,5.0547,1,6,5.920818754
CHEMBL355695,CCO[C@@H](Cc1ccc(OCCn2c3ccc(Br)cc3c3cc(Br)ccc32)cc1)C(=O)O,Full Agonist,561.27,6.4307,1,4,7.356547324
CHEMBL167043,CCOC(Cc1ccc(OCCC2c3ccccc3Oc3ccccc32)cc1)C(=O)O,Full Agonist,418.489,5.4255,1,4,6.337242168
CHEMBL166687,CCOC(Cc1ccc(OCC=C2c3ccccc3OCOc3ccccc32)cc1)C(=O)O,Full Agonist,446.499,4.9582,1,5,5.468521083
CHEMBL24038,CCO[C@@H](Cc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1)C(=O)O,Full Agonist,419.477,5.0416,1,5,6.244125144
CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,Full Agonist,356.447,3.1596,1,5,6.013228266
CHEMBL86658,CCO[C@@H](Cc1ccc(OCCn2c3ccccc3c3ccccc32)cc1)C(=O)O,Full Agonist,403.478,4.9057,1,4,6.769551079
CHEMBL166408,CCOC(Cc1ccc(OCCC=C2c3ccccc3CCc3ccccc32)cc1)C(=O)O,Partial Agonist,442.555,5.7182,1,3,4.777283529
